company,security,CNPJ
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERI3,12.528.708/0001-07
AES TIETE ENERGIA SA,TIET11,04.128.563/0001-10
AES TIETE ENERGIA SA, TIET3,04.128.563/0001-10
AES TIETE ENERGIA SA, TIET4,04.128.563/0001-10
AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,AFLT3,10.338.320/0001-00
ALEF S.A.,ALEF3B,02.217.319/0001-07
ALFA HOLDINGS S.A.,RPAD3,17.167.396/0001-69
ALFA HOLDINGS S.A., RPAD5,17.167.396/0001-69
ALFA HOLDINGS S.A., RPAD6,17.167.396/0001-69
ALGAR TELECOM S/A,#N/D,71.208.516/0001-74
ALIANSCE SONAE SHOPPING CENTERS S.A.,ALSO3,05.878.397/0001-32
ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ALPK3,60.537.263/0001-66
ALPARGATAS S.A.,ALPA3,61.079.117/0001-05
ALPARGATAS S.A., ALPA4,61.079.117/0001-05
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,APER3,11.721.921/0001-60
ALPHAVILLE S.A.,AVLL3,16.811.931/0001-00
ALTERE SECURITIZADORA S.A.,#N/D,02.783.423/0001-50
ALUPAR INVESTIMENTO S/A,ALUP11,08.364.948/0001-38
ALUPAR INVESTIMENTO S/A, ALUP3,08.364.948/0001-38
ALUPAR INVESTIMENTO S/A, ALUP4,08.364.948/0001-38
AMBEV S.A.,ABEV3,07.526.557/0001-00
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP3,12.648.266/0001-24
AMPLA ENERGIA E SERVICOS S.A.,CBEE3,33.050.071/0001-58
ANIMA HOLDING S.A.,ANIM3,09.288.252/0001-32
AREZZO INDÚSTRIA E COMÉRCIO S.A.,ARZZ3,16.590.234/0001-76
ATACADÃO S.A.,CRFB3,75.315.333/0001-09
ATMA PARTICIPAÇÕES S.A.,#N/D,04.032.433/0001-80
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ATOM3,00.359.742/0001-08
AURA MINERALS INC.,AURA33,07.857.093/0001-14
AZEVEDO E TRAVASSOS S.A.,AZEV3,61.351.532/0001-68
AZEVEDO E TRAVASSOS S.A., AZEV4,61.351.532/0001-68
AZUL S.A.,AZUL4,09.305.994/0001-29
B2W – COMPANHIA DIGITAL,BTOW3,00.776.574/0001-56
B3 S.A. – BRASIL. BOLSA. BALCÃO,B3SA3,09.346.601/0001-25
BAHEMA EDUCAÇÃO S.A.,BAHI3,45.987.245/0001-92
BANCO BMG S.A.,BMGB4,61.186.680/0001-74
BANCO INTER S.A.,BIDI3,00.416.968/0001-01
BANCO INTER S.A., BIDI11,00.416.968/0001-01
BANCO INTER S.A., BIDI4,00.416.968/0001-01
BANESTES S.A. – BCO EST ESPIRITO SANTO,BEES3,28.127.603/0001-78
BANESTES S.A. – BCO EST ESPIRITO SANTO, BEES4,28.127.603/0001-78
BARDELLA S.A. INDUSTRIAS MECANICAS,BDLL4,60.851.615/0001-53
BARDELLA S.A. INDUSTRIAS MECANICAS, BDLL3,60.851.615/0001-53
BATTISTELLA ADM PARTICIPACOES S.A.,BTTL3,42.331.462/0001-31
BAUMER S.A.,BALM4,61.374.161/0001-30
BAUMER S.A., BALM3,61.374.161/0001-30
BB SEGURIDADE PARTICIPAÇÕES S.A.,BBSE3,17.344.597/0001-94
BBM LOGISTICA S.A.,BBML3,01.107.327/0001-20
BCO ABC BRASIL S.A.,ABCB4,28.195.667/0001-06
BCO ALFA DE INVESTIMENTO S.A.,BRIV3,60.770.336/0001-65
BCO ALFA DE INVESTIMENTO S.A., BRIV4,60.770.336/0001-65
BCO AMAZONIA S.A.,BAZA3,04.902.979/0001-44
BCO BRADESCO S.A.,BBDC4,60.746.948/0001-12
BCO BRADESCO S.A., BBDC3,60.746.948/0001-12
BCO BRASIL S.A.,BBAS11,00.000.000/0001-91
BCO BRASIL S.A., BBAS12,00.000.000/0001-91
BCO BRASIL S.A., BBAS3,00.000.000/0001-91
BCO BTG PACTUAL S.A.,BPAC11,30.306.294/0001-45
BCO BTG PACTUAL S.A., BPAC3,30.306.294/0001-45
BCO BTG PACTUAL S.A., BPAC5,30.306.294/0001-45
BCO ESTADO DE SERGIPE S.A. – BANESE,BGIP3,13.009.717/0001-46
BCO ESTADO DE SERGIPE S.A. – BANESE, BGIP4,13.009.717/0001-46
BCO ESTADO DO PARA S.A.,BPAR3,04.913.711/0001-08
BCO ESTADO DO RIO GRANDE DO SUL S.A.,BRSR6,92.702.067/0001-96
BCO ESTADO DO RIO GRANDE DO SUL S.A., BRSR5,92.702.067/0001-96
BCO ESTADO DO RIO GRANDE DO SUL S.A., BRSR3,92.702.067/0001-96
BCO INDUSVAL S.A.,IDVL3,61.024.352/0001-71
BCO INDUSVAL S.A., IDVL4,61.024.352/0001-71
BCO MERCANTIL DE INVESTIMENTOS S.A.,BMIN3,34.169.557/0001-72
